book_idx,Book-Title,Book-Author
4268,Color the Sidewalk for Me,Brandilyn Collins
4282,The Shell Seekers,Rosamunde Pilcher
4299,Flowers in the Rain,Rosamunde Pilcher
4318,Pemberley or Pride and Prejudice Continued,Emma Tennant
4336,Henry and Clara,Thomas Mallon
4353,Accustomed to the Dark,Walter Satterthwait
4356,The Persian Pickle Club,Sandra Dallas
4367,The Long Rain,Peter Gadol
4380,One Thousand White Women : The Journals Of May Dodd,Jim Fergus
4383,The Last Valentine,James Michael Pratt
4384,The Saskiad,Brian Hall
4396,Used and Rare : Travels in the Book World,Lawrence Goldstone
4418,One Thousand White Women : The Journals of May Dodd: A Novel,Jim Fergus
4420,Strong for Potatoes,Cynthia Thayer
4422,A Home at the End of the World: A Novel,Michael Cunningham
4445,Excalibur: A Novel of Arthur (The Warlord Chronicles: III),Bernard Cornwell
4461,Round Ireland With a Fridge,Tony Hawks
4462,The Unexpected Guest,Charles Osborne
4464,Vincent Price: A Daughter's Biography,Victoria Price
4498,Breathing Water,T. Greenwood
4503,Timbuktu : A Novel,Paul Auster
4517,Out on a Limb: A Claire Malloy Mystery,Joan Hess
4522,Sellevision : A Novel,Augusten Burroughs
4527,Coming Back to Me,Caroline Leavitt
4529,The Viking Funeral,Stephen J. Cannell
4534,Dry: A Memoir,Augusten Burroughs
4539,This Is Graceanne's Book : A Novel,P. L. Whitney
4542,Final Arrangements,Miles Keaton Andrew
4569,Knight: My Story,Bobby Knight
4581,The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Melinda Roth
4584,The Apprentice : A Novel,Lewis Libby
4590,Girlfriend 44,Mark Barrowcliffe
4626,The Hours: A Novel,Michael Cunningham
4635,The Minotaur Takes a Cigarette Break: A Novel,Steven Sherrill
4638,"Plane Insanity: A Flight Attendant's Tales of Sex, Rage, and Queasiness at 30,000 Feet",Elliot Hester
4639,The Marrying Game: A Novel,Kate Saunders
4640,The Love of Stones: A Novel,Tobias Hill
4644,"Winner of the National Book Award: A Novel of Fame, Honor, and Really Bad Weather",Jincy Willett
4666,Jane Austen in Boca: A Novel,Paula Marantz Cohen
4677,Balsamic Dreams : A Short But Self-Important History of the Baby Boomer Generation,Joe Queenan
4715,Lord of Chaos : Book Six of 'The Wheel of Time' (Wheel of Time),Robert Jordan
4747,Dracula,Bram Stoker
4768,Dark Cities Underground,Lisa Goldstein
4779,01-01-00: A Novel of the Millennium,R. J. Pineiro
4783,Mars Crossing,Geoffrey A. Landis
4792,The Land of Laughs : A Novel,Jonathan Carroll
4799,Chemical Pink,Katie Arnoldi
4802,Forests of the Heart (Newford),Charles de Lint
4805,The Folk of the Fringe,Orson Scott Card
4806,Hybrids (Neanderthal Parallax),Robert J. Sawyer
4819,Herbs and Apples,Helen Santmyers
4842,September,Rosamunde Pilcher
4843,Voices in Summer,Rosamunde Pilcher
4844,By Reason of Insanity,James Neal Harvey
4854,"Red Cloud's Revenge: Showdown on the Northern Plains, 1867 (Plainsmen (Paperback))",Terry C. Johnston
4858,The Jeffrey Dahmer Story : An American Nightmare (St. Martin's True Crime Library),Donald A. Davis
4865,Undercurrents,Ridley Pearson
4883,In the Presence of Enemies,William J. Coughlin
4898,The Apothecary Rose : An Owen Archer Mystery (An Owen Archer Mystery),Candace Robb
4915,White Shark,Peter Benchley
4943,The Last Coyote (Last Coyote),Michael Connelly
4945,Tooth and Nail (Detective John Rebus Novels),Ian Rankin
4966,Under Gemini,Rosamunde Pilcher
4972,The Shell Seekers (Shell Seekers),Rosamunde Pilcher
4976,A Murder on the Appian Way (Dead Letter Mysteries),Steven Saylor
4978,Snow Wolf,Glenn Meade
4983,Dangerous Passions,Kat Martin
4991,Neanderthal: A Novel,John Darnton
5001,Hide and Seek (Dead Letter Mysteries),Ian Rankin
5016,Strip Jack (Strip Jack),Ian Rankin
5022,Wings of Fire (An Ian Rutledge Mystery),Charles Todd
5037,Black and Blue (Black &amp; Blue),Ian Rankin
5043,Eleven Hours,Paullina Simons
5061,Duplicity,Vicki Hinze
5092,On the Edge,C. E. Poverman
5096,The Sands of Sakkara,Glenn Meade
5099,Ice Station,Matthew J. Reilly
5100,A Comedy of Heirs (Torie O'Shea Mysteries (Paperback)),Rett MacPherson
5114,Larger Than Death (Josephine Fuller Mystery),Lynne Murray
5124,Agatha Raisin and the Witch of Wyckhadden (An Agatha Raisin Mystery),M. C. Beaton
5128,Dead Souls (St. Martin's Minotaur Mysteries),Ian Rankin
5134,Pisces Rising (An Elizabeth Chase Mystery),Martha C. Lawrence
5135,The Samurai's Wife (A Sano Ichiro Mystery),Laura Joh Rowland
5163,Easy Money,Jenny Siler
5167,K-Pax,Gene Brewer
5174,A Deadly Affair (St. Martin's True Crime Library),Tom Henderson
5184,The Skull Mantra,Eliot Pattison
5195,The Wedding Game : A Mystery at the University of Michigan (A Mystery Featuring Anneke Haagen),Susan Holtzer
5210,The Eye of the Tiger,Wilbur Smith
5224,The Beach Club : A Novel,Elin Hilderbrand
5241,Naked Came the Phoenix,Marcia Talley
5251,Temple,Matthew Reilly
5263,Close to You,Mary Jane Clark
5265,"Abandoned Prayers: The Shocking True Story of Obsession, Murder, and 'Little Boy Blue'",Gregg Olsen
5271,The Falls : An Inspector Rebus Novel (An Inspector Rufus Novel),Ian Rankin
5273,The Sigma Protocol,Robert Ludlum
5286,If She Should Die,Carlene Thompson
5292,Killing Cousins (A Torie O'Shea Mystery),Rett MacPherson
5311,The Chase,Brenda Joyce
5314,Nobody Knows,Mary Jane Clark
5329,Stephen Coonts' Deep Black (Deep Black),Stephen Coonts
5336,Winter and Night (A Bill Smith/Lydia Chin Novel),S. J. Rozan
5337,Elliott Roosevelt's Murder at the President's Door : An Eleanor Roosevelt Mystery (An Eleanor Roosevelt Mystery),Elliott Roosevelt
5344,Compulsion (Frank Clevenger),Keith Ablow
5355,The Big Dig (Carlotta Carlyle),Linda Barnes
5356,Liberty : A Jake Grafton Novel (A Jake Grafton Novel),Stephen Coonts
5399,A Question of Blood: An Inspector Rebus Novel,Ian Rankin
5410,Bloom County: Loose Tails,Berke Breathed
5413,Tales Too Ticklish to Tell: Bloom County,Berke Breathed
5431,Johnny Long Legs (Matt Christopher Sports Classics),Matthew F Christopher
5439,Chasing the Dime,Michael Connelly
5441,Blood Work (Blood Work),Michael Connelly
5444,A Darkness More Than Night,Michael Connelly
5445,Lost Light,Michael Connelly
5446,The Narrows: A Novel,Michael Connelly
5458,Tangled Vines,Janet Dailey
5474,White Oleander : A Novel,Janet Fitch
5486,In the Land of Dreamy Dreams,Ellen Gilchrist
5493,Starcarbon,Ellen Gilchrist
5504,Find Waldo Now!,Martin Handford
5518,The Castafiore Emerald (The Adventures of Tintin),Herge
5539,Garden State: A Novel,Rick Moody
5554,The Big Bad Wolf: A Novel,James Patterson
5566,1st to Die: A Novel,James Patterson
5570,Cradle and All,James Patterson
5576,Cat and Mouse,James Patterson
5582,Hide and Seek,James Patterson
5591,Fortune's Rocks : A Novel,Anita Shreve
5602,The Catcher in the Rye,J.D. Salinger
5628,The Weight of Water,Anita Shreve
5638,"Daisy Says \Here We Go Round the Mulberry Bush\"" (Daisy)""",Jane Simmons
5656,"River, Cross My Heart : A Novel",Breena Clarke
5675,All Too Human : A Political Education,George Stephanopoulos
5691,Supreme Storyteller,Nevil Shute
5694,The Spy Who Came in from the Cold,John le Carre
5713,Riddley Walker,Russell Hoban
5715,Vintage Stuff,Tom Sharpe
5717,On the Black Hill,Bruce Chatwin
5718,Little Drummer Girl,John Lecarre
5723,The Cats of Seroster (Piccolo Books),Robert Westall
5724,Less Than Zero,Bret Easton Ellis
5725,Falling Towards England,Clive James
5732,Deadlock,Colin Forbes
5735,Bonfire of the Vanities,Tom Wolfe
5764,Mother of God,David Ambrose
5766,The Daughters of Cain,Colin Dexter
5771,Acqua Alta,Donna Leon
5777,Once In a House On Fire,Andrea Ashworth
5798,Warhol's Prophecy,Shaun Hutson
5801,Once,James Herbert
5803,Haunted,James Herbert
5807,The Guy Next Door (UK Edition),Meggin Cabot
5812,Dry Bones That Dream (An Inspector Banks Mystery),Peter Robinson
5814,Dancing with mules,Morag Prunty
5818,Tokyo Station,Martin Cruz Smith
5819,The Spartan,Valerio Massimo Manfredi
5822,Nip 'n' Tuck,Kathy Lette
5828,Five on Kirrin Island Again (Famous Five),Enid Blyton
5834,David the Prince (Coronet Books),Nigel Tranter
5838,A Matter of Honour,Jeffrey Archer
5842,Blindfold,Siri Hustvedt
5843,The Vets (Stephen Leather Thrillers),Stephen Leather
5845,Kiss chase,Fiona Walker
5853,A Matter of Time,Catherine Feeny
5871,Lucy Talk,Fiona Walker
5886,Man Called Intrepid,Stevenson
5899,Between Planets,Heinlein A.
5900,Star wars: From the adventures of Luke Skywalker : a novel,George Lucas
5928,The Milagro Beanfield War,Nichols
5938,Shibumi,Trevanian
5939,Crystal singer,Anne McCaffrey
5954,Fahrenheit 451,Ray Bradbury
5955,Ringworld,Larry Niven
5963,Dragonflight,Anne Mccaffrey
5993,The Quest for Saint Camber (Quest for Saint Camber),Katherine Kurtz
6014,Lusitania,David Butler
6015,On a Pale Horse,Piers Anthony
6043,Garfield Eats His Heart Out,Jim Davis
6046,Shoeless Joe,W. P. Kinsella
6049,Friday,Robert Heinlein
6055,The Magic Journey,John Nichols
6059,On the Beach,NEVIL SHUTE
6060,Sweet Death Kind Death (Kate Fansler Novels (Paperback)),Amanda Cross
6077,Bearing an Hourglass (Incarnations of Immortality (Paperback)),Piers Anthony
6084,Naked Sun 2,Isaac Asimov
6103,Robots of Dawn (Robots of Dawn),Isaac Asimov
6119,With a Tangled Skein (Incarnations of Immortality (Paperback)),PIERS ANTHONY
6128,Sentenced to Prism,Alan Dean Foster
6129,Dinosaur Planet,Anne McCaffrey
6130,Garfield Takes the Cake (Garfield (Numbered Paperback)),JIM DAVIS
6136,Splinter of the Mind's Eye: From the Adventures of Luke Skywalker,Alan Dean Foster
6139,The Bicentennial Man and Other Stories,Isaac Asimov
6140,The Garfield Treasury,Jim Davis
6149,Momilies: As My Mother Used to Say,Michele Slung
6159,Have Spacesuit-Will Travel,ROBERT A. HEINLEIN
6179,The Deryni Archives,Katherine Kurtz
6190,Bright River Trilogy,Annie Greene
6196,Remember Me,Fay Weldon
6223,Palm Beach,Pat Booth
6245,Dragonflight (Dragonriders of Pern Trilogy (Paperback)),Anne McCaffrey
6278,Cakewalk,Lee Smith
6291,That's Not What I Meant: How Conversational Style Makes or Breaks Relationships,Deborah Tannen
6303,Shoeless Joe,W. P. Kinsella
6307,Kate Vaiden,Reynolds Price
6329,Mirror of Her Dreams (Mordant's Need),STEPHEN R. DONALDSON
6361,Blade Runner: (Do Androids Dream of Electric Sheep),Philip K. Dick
6365,The Hound of the Baskervilles,"Arthur Conan, Sir Doyle"
6382,Guardians of the West (Book 1 of the Malloreon),David Eddings
6398,Eaters of the Dead,MICHAEL CRICHTON
6403,"Ogre, Ogre (Xanth Novels (Paperback))",PIERS ANTHONY
6407,The Wishsong of Shannara,Terry Brooks
6409,A Man Rides Through (Man Rides Through),Stephen Donaldson
6415,"When My Love Returns from the Ladies Room, Will I Be Too Old To Care?",LEWIS GRIZZARD
6418,The Dark hand of Magic (Unschooled Wizard 3),Barbara Hambly
6442,Guests of the Emperor,Janice Young Brooks
6453,Philly Stakes,GILLIAN ROBERTS
6483,Polar Star,MARTIN CRUZ SMITH
6491,Foucault's Pendulum,Umberto Eco
6501,Silver Pigs: A Detective Novel in Ancient Rome,Lindsey Davis
6543,The Old Contemptibles,Martha Grimes
6548,Primary Justice,WILLIAM BERNHARDT
6563,Everything You Have Is Mine (Lauren Laurano Mysteries),Sandra Scoppettone
6567,Yellow Dog Party (Thomas Black Mysteries),Earl Emerson
6578,My Lives,Roseanne
6626,Here Be Dragons,Sharon Kay Penman
6650,Red Square,Martin Cruz Smith
6657,My Love Affair with England: A Traveler's Memoir,Susan Allen Toth
6668,A Calculated Risk,Katherine Neville
6696,Servant of the Bones,Anne Rice
6710,The Adventures of Lando Calrissian: Lando Calrissian and the Mindharp of Sharu/Lando Calrissian and the Flamewind of Oseon/Lando Calrissian and the,L. Neil Smith
6716,The Bastard Prince (Heirs of Saint Camber),Katherine Kurtz
6728,Hotel Paradise,Martha Grimes
6766,Our Game,John Le Carre
6776,Fourth Procedure,STANLEY POTTINGER
6791,Trying to Save Piggy Sneed,JOHN IRVING
6794,Dark Lady,Richard North Patterson
6799,Lost World,Michael Crichton
6809,The  Conversation Piece: Creative Questions to Tickle the Mind,Paul Lowrie
6821,Errands,Judith Guest
6822,"The Vampire Armand: The Vampire Chronicles (Rice, Anne, Vampire Chronicles.)",Anne Rice
6830,The Cobra Event,Richard Preston
6833,The Power of One,Bryce Courtenay
6841,Eureka,William Diehl
6844,The Last Don,MARIO PUZO
6856,Monster : A Novel (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN
6857,Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman
6858,Flesh and Blood,Jonathan Kellerman
6868,Dave Barry Slept Here,Dave Barry
6870,Garfield Thinks Big (Garfield (Numbered Paperback)),Jim Davis
6874,Queen's Man (Ballantine Reader's Circle),SHARON KAY PENMAN
6899,Paris in the Twentieth Century,Jules Verne
6903,While I Was Gone,Sue Miller
6909,The Tenth Planet (Book 1),Dean Wesley Smith
6910,The Tenth Planet: Oblivion (Tenth Planet),Dean Wesley Smith
6911,The Tenth Planet: Final Assault (Tenth Planet),DEAN WESLEY SMITH
6913,The Demon Awakens (DemonWars),R. A. Salvatore
6920,The Genesis Code,John Case
6922,Vittorio the Vampire: New Tales of the Vampires,Anne Rice
6950,Candy,Luke Davies
6977,The Analyst,John Katzenbach
6983,The Man Who Listens to Horses,Monty Roberts
6996,The Insider,STEPHEN FREY
6997,Trust Fund,STEPHEN FREY
7023,A Certain Justice (Adam Dalgliesh Mysteries (Paperback)),P. D. James
7026,Manifold: Time (Manifold (Paperback)),Stephen Baxter
7039,Crazy in Alabama,Mark Childress
7057,Irresistible (Conrad Voort Novels (Hardcover)),Ethan Black
7081,Open House (Oprah's Book Club (Paperback)),Elizabeth Berg
7082,A Memory of Love,Bertrice Small
7083,Darwin's Radio,Greg Bear
7097,The First Horseman,John Case
7099,Random Hearts,Warren Adler
7105,Until the Real Thing Comes Along (Ballantine Reader's Circle),ELIZABETH BERG
7111,Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani
7122,Remembering Blue (Ballantine Reader's Circle),Connie May Fowler
7129,Catching Heaven (Ballantine Reader's Circle),Sands Hall
7133,Southampton Row (Charlotte &amp; Thomas Pitt Novels (Paperback)),Anne Perry
7163,The Sicilian,MARIO PUZO
7193,The Talisman,STEPHEN KING
7196,The Goddesses of Kitchen Avenue,BARBARA SAMUEL
7204,The Hole,Guy Burt
7213,The President's Daughter,Mariah Stewart
7215,The Surgeon,TESS GERRITSEN
7248,The Last Detective (Elvis Cole Novels (Paperback)),ROBERT CRAIS
7250,The Accidental Tourist : A Novel (Ballantine Reader's Circle),ANNE TYLER
7270,The Ultimate Hitchhiker's Guide to the Galaxy,DOUGLAS ADAMS
7280,Dragonflight,Anne McCaffrey
7296,Big Stone Gap,Adriana Trigiani
7305,Private Eyes,Jonathan Kellerman
7345,Quite Ugly One Morning,Christ Brookmyre
7353,Bilgewater,Jane Gardham
7361,"Waiting Heart (Harlequin Romance, No 2875)",Jeanne Allan
7362,"Heart Of The Mat (Harlequin Romance, No 2876)",Lindsay Armstrong
7367,"Healing Effect (Harlequin Romance, No 2917)",Deborah Davis
7385,"Bluebirds In The Spring (Harlequin Romance, No 3073)",Jeanne Allan
7399,"Cloud Holders (Harlequin Romance, No 3133)",Bethany Campbell
7419,"Counterfeit Cowgirl (Back To The Ranch) (Harlequin Romance, No 3309)",Heather Allison
7423,"At Odds With Love (Harlequin Romance, No 3323)",Betty Neels
7436,Baby Discovery (Bachelor Dads) (Harlequin Romance),Rebecca Winters
7469,Man To Die For (Silhouette Intimate Moments),Suzanne Brockmann
7492,"Undercover Princess (Royally Wed) (Silhouette Intimate Moments, 968)",Suzanne Brockmann
7494,"Heart Of Midnight (Silhouette Intimate Moments, 977)",Fiona Brand
7510,"Tilt At Windmills (Silhouette Special Edition, 773)",Patt Bucheister
7572,"Father Of Her Child  (Top Author) (Harlequin Presents, No 1833)",Emma Darcy
7590,"The Sheikh's Wife (Surrender To The Sheikh) (Presents, 2252)",Jane Porter
7653,"The Rancher Wore Suits: Trading Places (Harlequin American Romance, No 944)",Rita Herron
7661,"Priceless Marriage: Millionaire, Montana (Harlequin American Romance, No 970)",Bonnie Gardner
7663,"Have Bouquet, Need Boyfriend (Harlequin American Romance, No 975)",Rita Herron
7683,"OF ROYAL BLOOD - ROYALLY WED: THE MISSING HEIR (Silhouette Romance, No. 1576)",Carolyn Zane
7698,Her Secret Children,Judith Mcwilliams
7699,The Tycoon's Double Trouble  (Daycare Dads),Susan Meier
7714,Stanislaski Sisters (Harlequin by Request),Nora Roberts
7722,Daughters Of Texas (By Request 3'S) (By Request 3's),Annette Broadrick
7737,Worth the Risk,Jayne Ann Krentz
7738,"Truly, Madly Manhattan",Nora Roberts
7755,Summer Pleasures,Nora Roberts
7760,Navy Wife (Silhouette Romance),Debbie Macomber
7821,"Same Place, Same Time (Harlequin Intrigue, 548)",C. J. Carmichael
7833,Amanda's Child (Harlequin Intrigue 582),Rebecca York
7840,"Lullaby And Goodnight (The Sutton Babies) (Harlequin Intrigue, No 594)",Susan Kearney
7865,"Guarding Jane Doe (The Avengers) (Intrigue, 628)",Thomas B. Allen
7894,"The Bride And The Mercenary (The Avengers) (Harlequin Intrigue Series, No. 663)",Harper Allen
7911,Premeditated Marriage,B.J. Daniels
7948,Just Before Dawn (Harlequin Intrigue Series),Joanna Wayne
7951,Waiting For Nick (Silhouette Special Edition),Nora Roberts
7981,Considering Kate (The Stanislaskis) (Silhouette Special Edition),Nora Roberts
8006,"The Runaway Bride (Silhouette Special Edition, No. 1469)",Patricia McLinn
8051,She's Expecting,Barbara McMahon
8073,Strapless (Red Dress Ink (Paperback)),Leigh Riker
8090,As Seen on TV,Sarah Mlynowski
8098,Tallulahland,Lynn Messina
8099,Lost &amp; Found (Red Dress Ink),Jane Sigaloff
8102,Rescuing Rose (Red Dress Ink),Isabel Wolff
8128,"Tantalizing  (Blaze) (Harlequin Temptation, 715)",Lori Foster
8173,Houston In The Rearview Mirror,Susan R. Cooper
8178,Mom Among The Liars,James Yaffe
8190,"Julius House (Worldwide Mystery , No 4)",Richard Harris
8195,Death And Faxes,Leslie O'Kane
8204,Angel'S Cove,Allan Pedrazaz
8328,"Man Of The Mist (Harlequin Historical, No 313)",Elizabeth Mayne
8344,"Scout'S Bride (Harlequin Historicals, No 354)",Kate Kingsley
8406,"Virgin Spring (Historical, 506)",Debra Lee Brown
8408,"Lady Of Lyonsbridge (Historical, 529)",Ana Seymour
8429,"Overlord'S Bride (The Warrior Series) (Harlequin Historical Series, No 559)",Margaret Moore
8466,Norwyck's Lady,Margo Maguire
8469,The Angel of Devil's Camp,Lynna Banning
8497,"Staying Single (Harlequin Flipside, No. 1)",Millie Criswell
8551,The Macgregors: Serena - Caine (The Macgregors),Nora Roberts
8552,The Macgregors: Alan - Grant (The Macgregors),Nora Roberts
8560,36 Hours Christmas (Silhouette Promo),Mary Lynn Baxter
8563,Stanislaski Sisters,Nora Roberts
8570,Hawk'S Way Bride,Joan Johnston
8638,The Rebel's Return (Lone Star Country Club),Beverly Barton
8641,The Last Bachelor,Judy Christenberry
8692,"When The Spirit Is Willing (Harlequin Superromance, No 575)",Margaret Chittenden
8696,Yanqui Prince (Harlequin Super Romance No 597),Janice Kaiser
8773,"Let It Snow (Harlequin Superromance, 816)",Sherry Lewis
8796,"Dream Baby (By The Year 2000: Baby) (Harlequin Superromance, No. 870)",Ann Evans
8810,"And Baby Makes Six (9 Months Later) (Superrromance, 920)",Linda Markowiak
8816,"Hitched! (The Taggarts Of Texas) (Superromance, 933)",James Dale
8820,"Snow Baby (9 Months Later) (Superromance, 939)",Brenda Novak
8825,"House At Briar Lake (Superromance, 946)",Roxanne Rustand
8828,"Negotiator (The Guardians) (Harlequin Super Romance, No 960)",Peter David
8873,"Operation:  Katie  (The Special Agents) (Harlequin Superromance, 1064)",Roxanne Rustand
8889,"A Baby Of Her Own  (9 Month Later) (Harlequin Superromance, No. 1083)",Brenda Novak
8923,No Ordinary Child,Darlene Graham
8960,Silent Witness (Harlequin Superromance),Kay David
8982,Her Baby'S Father (The Baby Bank) (Silhouette Desire),Katherine Garbera
9056,Marooned With A Millionaire,Kristi Gold
9078,"Christmas Bonus, Strings Attached",Susan Crosby
9086,Hideaway,Hannah Alexander
9087,"Notorious (Blaze, 1)",Vicki Thompson
9118,"Bound To Happen (WWW.Girl-Gear) (Blaze, 40)",Alison Kent
9171,"Bordering On Obsession (Harlequin Blaze, 96)",Susan Kearney
9267,Midnight Fantasies: Mystery Lover/After Hours/Show and Tell (3 Novels in 1),Vicki Lewis Thompson
9319,Family At Last (Love Inspired (Numbered)),Carolyne Aarsen
9356,The Courage to Dream,Margaret Daley
9360,Promise Forever,Marta Perry
9363,Love Inspired: Heaven Knows,Jillian Hart
9390,The Colour,Rose Tremain
9393,The Corrections,Jonathan Franzen
9403,Housekeeping,Marilynne Robinson
9415,Middlesex: A Novel,Jeffrey Eugenides
9430,Personal Injuries,Scott Turow
9432,Wonder Tales: Six French Stories of Enchantment,Marina Warner
9441,The Eagle of the Ninth,Rosemary Sutcliff
9451,The Memoirs of Hadrian,Marguerite Yourcenar
9458,The Small Rain : A Novel,Madeleine L'Engle
9465,Looking for a Ship,John McPhee
9474,The Spirit Catches You and You Fall Down,Anne Fadiman
9498,Vittorio the Vampire: New Tales of the Vampires,Anne Rice
9517,Founding Brothers: The Revolutionary Generation,JOSEPH J. ELLIS
9520,Plainsong,Kent Haruf
9522,Otherwise Engaged : a Novel,Suzanne Finnamore
9542,The World Below,SUE MILLER
9547,Samaritan,RICHARD PRICE
9550,The Good People of New York,Thisbe Nissen
9563,Good Faith,JANE SMILEY
9573,True Notebooks (Alex Awards (Awards)),MARK SALZMAN
9583,When the Emperor Was Divine (Alex Awards (Awards)),JULIE OTSUKA
9609,The Full Cupboard of Life: More from the No. 1 Ladies' Detective Agency,Alexander McCall Smith
9610,Persepolis : The Story of a Childhood (Alex Awards (Awards)),MARJANE SATRAPI
9613,Cork Boat,JOHN POLLACK
9619,"Murder in Foggy Bottom (Truman, Margaret, Capital Crimes Series.)",Margaret Truman
9632,Without Reservations: The Travels of an Independent Woman,Alice Steinbach
9633,Faith of My Fathers,John McCain
9659,The Greatest Generation Speaks : Letters and Reflections,TOM BROKAW
9661,Men My Mother Dated: And Other Mostly True Tales,Brett Leveridge
9664,Black House,Stephen King
9685,Tepper Isn't Going Out,Calvin Trillin
9693,The Talisman,Stephen King
9704,Little Indiscretions : A Delectable Mystery,CARMEN POSADAS
9713,Evening,SUSAN MINOT
9720,"The Island of the Colorblind and Cycad Island: And, Cycad Island",Oliver W. Sacks
9722,The Executioner's Song,NORMAN MAILER
9724,Personal History,Katharine Graham
9728,Breaking Clean,Judy Blunt
9749,Rules of the Wild,Francesca Marciano
9756,The Autograph Man: A Novel (Vintage International (Paperback)),Zadie Smith
9761,Uncle Tungsten: Memories of a Chemical Boyhood,Oliver W. Sacks
9765,"Goodnight, Nebraska: A Novel (Vintage Contemporaries (Paperback))",Tom McNeal
9768,Where is the Mango Princess?,C. E. Crimmins
9781,Trans-Sister Radio (Vintage Contemporaries (Paperback)),CHRIS BOHJALIAN
9796,The Tiny One (Vintage Contemporaries),Eliza Minot
9829,An Equal Music,Vikram Seth
9831,The Emperor of Ocean Park (Vintage Contemporaries (Paperback)),Stephen L. Carter
9833,Island: The Complete Stories,Alistair MacLeod
9837,Geek Love,Katherine Dunn
9839,I Don't Know How She Does It,ALLISON PEARSON
9841,What Just Happened: A Chronicle from the Information Frontier,James Gleick
9863,The Buffalo Soldier : A Novel,CHRIS BOHJALIAN
9875,Oldest Living Confederate Widow Tells All (Vintage Contemporaries (Paperback)),Allan Gurganus
9882,American Tabloid,James Ellroy
9898,Wuthering Heights (Modern Library Paperback Classics),Emily Bronte
9900,Austerlitz,Winfried Georg Sebald
9915,An Obvious Enchantment: A Novel,Tucker Malarkey
9916,Paris to the Moon,Adam Gopnik
9918,Without Reservations : The Travels of an Independent Woman,ALICE STEINBACH
9928,No Way to Treat a First Lady : A Novel,CHRISTOPHER BUCKLEY
9931,Don't Let's Go to the Dogs Tonight : An African Childhood,ALEXANDRA FULLER
9951,"Junie B. Jones Has a Peep In Her Pocket (Junie B. Jones 15, paper)",BARBARA PARK
9961,Quetzal and the Cool School (Dragon Tales (Ctw Books).),Bendix Anderson
9968,Stargirl,JERRY SPINELLI
9979,Sunshine: A Novel (An Avon/Flare Book),Norma Klein
9987,84 Charing Cross Road,Helene Hanff
10040,The Lathe of Heaven,Ursula K. Le Guin
10046,Strong Poison,Dorothy L. Sayers
10071,The Enchanted Land,Jude Deveraux
10126,The Mosquito Coast,Paul Theroux
10131,Howliday Inn,James Howe
10136,When Bad Things Happen to Good People,Harold S. Kushner
10142,Celery Stalks at Midnight,James Howe
10154,The Ghostway,Tony Hillerman
10157,"I, Tina",Tina Turner
10167,Radio Free Albemuth,Philip K. Dick
10170,Father Melancholy's Daughter,Gail Godwin
10172,Hot Siberian,Gerald A. Browne
10191,One More Time,Carol Burnett
10193,Run Before the Wind,Stuart Woods
10215,The Forever War,Joe Haldeman
10238,Socks (Cleary Reissue),Beverly Cleary
10243,Ramona the Pest (Ramona Quimby (Paperback)),Beverly Cleary
10259,The Secret of the Indian (Indian in the Cupboard),Lynne Reid Banks
10260,Help Wanted: Orphans Preferred,Earl W. Emerson
10304,Mischief : 87th Precent,Ed McBain
10314,The Mother Tongue,Bill Bryson
10322,A Dedicated Man (Inspector Banks Mysteries (Paperback)),Peter Robinson
10331,Murder on the Iditarod Trail (Alaska Mysteries (Paperback)),Sue Henry
10343,A Sudden Wild Magic,Diana Wynne Jones
10358,Season for Murder (Meredith and Markby Mysteries (Paperback)),Ann Granger
10360,The Mystery of the Cupboard (Indian in the Cupboard),Lynne Reid Banks
10366,Clockers / Movie Tie In,Richard Price
10382,The 6 Messiahs,Mark Frost
10385,Charms for Easy Life,Kaye Gibbons
10386,"Goodnight, Irene",Jan Burke
10399,Sleeping Lady : An Alex Jensen Mystery (Alex Jensen Alaska Mysteries (Paperback)),Sue Henry
10400,Men and the Girls,Joanna Trollope
10401,Dead to Rights (A Joanna Brady Mystery),J.A. Jance
10402,Skeleton Canyon: A Joanna Brady Mystery,J.A. Jance
10411,Sanctuary (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman
10414,Coyote Blue,Christopher Moore
10428,The Return of the Indian,Lynne Reid Banks
10433,Serpent's Tooth : A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman
10453,The Bum's Rush (Leo Waterman Mysteries (Paperback)),G.M. Ford
10512,The Dead Sea Cipher,Elizabeth Peters
10519,Trojan Gold (Vicky Bliss Mysteries),Elizabeth Peters
10523,The Kiss,Kathryn Harrison
10530,Brown's Requiem,James Ellroy
10545,The China Garden,Liz Berry
10546,Florida Road Kill: A Novel,Tim Dorsey
10549,The Ritual Bath (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman
10572,Taking the Fifth,J.A. Jance
10586,Savage Thunder,Johanna Lindsey
10607,Night Shadow,Catherine Coulter
10613,The Magic of You (Malory Novels (Paperback)),Johanna Lindsey
10625,Morning Song,Karen Robards
10642,Surrender My Love,Johanna Lindsey
